number,target_id,target_title,source_id,source_title
13,9253,Steins;Gate,44074,Shiguang Dailiren
9,31043,Boku dake ga Inai Machi,44074,Shiguang Dailiren
8,42249,Tokyo Revengers,44074,Shiguang Dailiren
5,40046,Id:Invaded,44074,Shiguang Dailiren
5,28223,Death Parade,44074,Shiguang Dailiren
4,37522,Pet,44074,Shiguang Dailiren
4,33352,Violet Evergarden,44074,Shiguang Dailiren
3,46102,Odd Taxi,44074,Shiguang Dailiren
2,1535,Death Note,44074,Shiguang Dailiren
2,32729,Orange,44074,Shiguang Dailiren
1,32995,Yuri!!! on Ice,32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou
1,30230,Diamond no Ace: Second Season,32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou
1,45577,IDOLiSH7: Third Beat!,32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou
1,24415,Kuroko no Basket 3rd Season,32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou
1,18689,Diamond no Ace,32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou
1,16894,Kuroko no Basket 2nd Season,32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou
1,38524,Shingeki no Kyojin Season 3 Part 2,32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou
4,6594,Katanagatari,17074,Monogatari Series: Second Season
2,2236,Toki wo Kakeru Shoujo,17074,Monogatari Series: Second Season
1,30,Neon Genesis Evangelion,17074,Monogatari Series: Second Season
1,18897,Nisekoi,17074,Monogatari Series: Second Season
1,31043,Boku dake ga Inai Machi,17074,Monogatari Series: Second Season
1,37450,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,17074,Monogatari Series: Second Season
1,20507,Noragami,17074,Monogatari Series: Second Season
1,9253,Steins;Gate,17074,Monogatari Series: Second Season
1,31240,Re:Zero kara Hajimeru Isekai Seikatsu,17074,Monogatari Series: Second Season
1,2251,Baccano!,17074,Monogatari Series: Second Season
25,431,Howl no Ugoku Shiro,199,Sen to Chihiro no Kamikakushi
13,4081,Natsume Yuujinchou,199,Sen to Chihiro no Kamikakushi
9,28805,Bakemono no Ko,199,Sen to Chihiro no Kamikakushi
8,9760,Hoshi wo Ou Kodomo,199,Sen to Chihiro no Kamikakushi
8,10408,Hotarubi no Mori e,199,Sen to Chihiro no Kamikakushi
7,10259,Da Yu Hai Tang (Movie),199,Sen to Chihiro no Kamikakushi
7,512,Majo no Takkyuubin,199,Sen to Chihiro no Kamikakushi
6,41168,Nakitai Watashi wa Neko wo Kaburu,199,Sen to Chihiro no Kamikakushi
6,164,Mononoke Hime,199,Sen to Chihiro no Kamikakushi
6,457,Mushishi,199,Sen to Chihiro no Kamikakushi
113,205,Samurai Champloo,1,Cowboy Bebop
81,6,Trigun,1,Cowboy Bebop
65,889,Black Lagoon,1,Cowboy Bebop
47,400,Seihou Bukyou Outlaw Star,1,Cowboy Bebop
34,20057,Space☆Dandy,1,Cowboy Bebop
30,2251,Baccano!,1,Cowboy Bebop
18,4087,Michiko to Hatchin,1,Cowboy Bebop
16,2025,Darker than Black: Kuro no Keiyakusha,1,Cowboy Bebop
14,918,Gintama,1,Cowboy Bebop
13,13601,Psycho-Pass,1,Cowboy Bebop
1,39582,Kitsutsuki Tanteidokoro,33095,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen
1,10800,Chihayafuru,33095,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen
1,4081,Natsume Yuujinchou,33095,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen
1,23273,Shigatsu wa Kimi no Uso,33095,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen
1,457,Mushishi,33095,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen
1,31646,3-gatsu no Lion,33095,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen
1,30,Neon Genesis Evangelion,33095,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen
1,12531,Sakamichi no Apollon,33095,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen
1,2890,Gake no Ue no Ponyo,24701,Mushishi Zoku Shou 2nd Season
1,4081,Natsume Yuujinchou,24701,Mushishi Zoku Shou 2nd Season
1,22789,Barakamon,24701,Mushishi Zoku Shou 2nd Season
1,48414,Sabikui Bisco,45576,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2
1,39468,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,45576,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2
1,39575,Somali to Mori no Kamisama,45576,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2
1,35073,Overlord II,45576,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2
1,30015,ReLIFE,45576,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2
1,37430,Tensei shitara Slime Datta Ken,45576,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2
14,6746,Durarara!!,46102,Odd Taxi
11,39195,Beastars,46102,Odd Taxi
9,2251,Baccano!,46102,Odd Taxi
3,36904,Aggressive Retsuko (ONA),46102,Odd Taxi
3,40935,Beastars 2nd Season,46102,Odd Taxi
3,44074,Shiguang Dailiren,46102,Odd Taxi
2,5081,Bakemonogatari,46102,Odd Taxi
2,19,Monster,46102,Odd Taxi
2,33337,ACCA: 13-ku Kansatsu-ka,46102,Odd Taxi
2,40052,Great Pretender,46102,Odd Taxi
25,1559,Shijou Saikyou no Deshi Kenichi,263,Hajime no Ippo
10,36563,Megalo Box,263,Hajime no Ippo
10,15,Eyeshield 21,263,Hajime no Ippo
10,21185,Baby Steps,263,Hajime no Ippo
9,34636,Ballroom e Youkoso,263,Hajime no Ippo
8,2402,Ashita no Joe,263,Hajime no Ippo
7,20583,Haikyuu!!,263,Hajime no Ippo
7,18179,Yowamushi Pedal,263,Hajime no Ippo
7,245,Great Teacher Onizuka,263,Hajime no Ippo
6,185,Initial D First Stage,263,Hajime no Ippo
20,16498,Shingeki no Kyojin,37521,Vinland Saga
13,33,Kenpuu Denki Berserk,37521,Vinland Saga
12,37520,Dororo,37521,Vinland Saga
7,32998,91 Days,37521,Vinland Saga
6,28249,Arslan Senki (TV),37521,Vinland Saga
5,39535,Mushoku Tensei: Isekai Ittara Honki Dasu,37521,Vinland Saga
5,36028,Golden Kamuy,37521,Vinland Saga
5,2199,Chirin no Suzu,37521,Vinland Saga
4,12031,Kingdom,37521,Vinland Saga
3,38000,Kimetsu no Yaiba,37521,Vinland Saga
2,4081,Natsume Yuujinchou,21939,Mushishi Zoku Shou
2,7588,Saraiya Goyou,21939,Mushishi Zoku Shou
1,13599,Robotics;Notes,21939,Mushishi Zoku Shou
1,2246,Mononoke,21939,Mushishi Zoku Shou
1,23987,Sarusuberi: Miss Hokusai,21939,Mushishi Zoku Shou
9,67,Basilisk: Kouga Ninpou Chou,44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen
5,617,Juubee Ninpuuchou,44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen
4,2418,Stranger: Mukou Hadan,44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen
4,1292,Afro Samurai,44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen
3,2216,Shigurui,44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen
3,570,Jin-Rou,44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen
3,33,Kenpuu Denki Berserk,44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen
2,578,Hotaru no Haka,44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen
2,205,Samurai Champloo,44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen
2,6895,Hakuouki,44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen
2,48583,Shingeki no Kyojin: The Final Season Part 2,48569,86 Part 2
1,93,Mobile Suit Gundam SEED,48569,86 Part 2
1,16498,Shingeki no Kyojin,48569,86 Part 2
1,30383,Classroom☆Crisis,48569,86 Part 2
1,71,Full Metal Panic!,48569,86 Part 2
1,28999,Charlotte,48569,86 Part 2
1,8888,Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita,48569,86 Part 2
1,27655,Aldnoah.Zero Part 2,48569,86 Part 2
2,263,Hajime no Ippo,2921,Ashita no Joe 2
1,2001,Tengen Toppa Gurren Lagann,2921,Ashita no Joe 2
1,22135,Ping Pong the Animation,2921,Ashita no Joe 2
1,1,Cowboy Bebop,2921,Ashita no Joe 2
4,31758,Kizumonogatari III: Reiketsu-hen,33050,Fate/stay night Movie: Heaven's Feel - III. Spring Song
1,2593,Kara no Kyoukai Movie 1: Fukan Fuukei,33050,Fate/stay night Movie: Heaven's Feel - III. Spring Song
617,1535,Death Note,1575,Code Geass: Hangyaku no Lelouch
48,10793,Guilty Crown,1575,Code Geass: Hangyaku no Lelouch
35,22729,Aldnoah.Zero,1575,Code Geass: Hangyaku no Lelouch
28,2581,Mobile Suit Gundam 00,1575,Code Geass: Hangyaku no Lelouch
27,19815,No Game No Life,1575,Code Geass: Hangyaku no Lelouch
22,820,Ginga Eiyuu Densetsu,1575,Code Geass: Hangyaku no Lelouch
22,16668,Kakumeiki Valvrave,1575,Code Geass: Hangyaku no Lelouch
17,30,Neon Genesis Evangelion,1575,Code Geass: Hangyaku no Lelouch
17,2001,Tengen Toppa Gurren Lagann,1575,Code Geass: Hangyaku no Lelouch
15,2025,Darker than Black: Kuro no Keiyakusha,1575,Code Geass: Hangyaku no Lelouch
52,268,Golden Boy,245,Great Teacher Onizuka
37,24833,Ansatsu Kyoushitsu,245,Great Teacher Onizuka
14,918,Gintama,245,Great Teacher Onizuka
13,242,Gokusen,245,Great Teacher Onizuka
8,29589,Denpa Kyoushi (TV),245,Great Teacher Onizuka
7,263,Hajime no Ippo,245,Great Teacher Onizuka
7,24,School Rumble,245,Great Teacher Onizuka
7,170,Slam Dunk,245,Great Teacher Onizuka
7,32542,Sakamoto Desu ga?,245,Great Teacher Onizuka
6,9513,Beelzebub,245,Great Teacher Onizuka
1,40730,Tian Guan Ci Fu,40434,Mo Dao Zu Shi: Wanjie Pian
1,41923,Yi Nian Yong Heng,40434,Mo Dao Zu Shi: Wanjie Pian
22,572,Kaze no Tani no Nausicaä,164,Mononoke Hime
15,457,Mushishi,164,Mononoke Hime
7,1140,Giniro no Kami no Agito,164,Mononoke Hime
6,199,Sen to Chihiro no Kamikakushi,164,Mononoke Hime
5,1119,Pokemon Movie 04: Celebi Toki wo Koeta Deai,164,Mononoke Hime
5,34599,Made in Abyss,164,Mononoke Hime
4,431,Howl no Ugoku Shiro,164,Mononoke Hime
4,1827,Seirei no Moribito,164,Mononoke Hime
4,2418,Stranger: Mukou Hadan,164,Mononoke Hime
3,812,Chikyuu Shoujo Arjuna,164,Mononoke Hime
66,38000,Kimetsu no Yaiba,40748,Jujutsu Kaisen (TV)
30,269,Bleach,40748,Jujutsu Kaisen (TV)
20,20,Naruto,40748,Jujutsu Kaisen (TV)
16,20507,Noragami,40748,Jujutsu Kaisen (TV)
15,11061,Hunter x Hunter (2011),40748,Jujutsu Kaisen (TV)
12,9919,Ao no Exorcist,40748,Jujutsu Kaisen (TV)
11,1735,Naruto: Shippuuden,40748,Jujutsu Kaisen (TV)
10,31964,Boku no Hero Academia,40748,Jujutsu Kaisen (TV)
9,22535,Kiseijuu: Sei no Kakuritsu,40748,Jujutsu Kaisen (TV)
8,32182,Mob Psycho 100,40748,Jujutsu Kaisen (TV)
43,37779,Yakusoku no Neverland,34599,Made in Abyss
36,35838,Shoujo Shuumatsu Ryokou,34599,Made in Abyss
28,9756,Mahou Shoujo Madoka★Magica,34599,Made in Abyss
27,11061,Hunter x Hunter (2011),34599,Made in Abyss
